詩歌ID,作者,標題,人物,提及次數
錢起著_39. 寄袁州李嘉佑員外,錢起著,39. 寄袁州李嘉佑員外,李嘉佑,3
錢起著_46. 贈漢陽隱者,錢起著,46. 贈漢陽隱者,隱者,103
錢起著_46. 贈漢陽隱者,錢起著,46. 贈漢陽隱者,清江,88
錢起著_48. 送李九歸河北,錢起著,48. 送李九歸河北,應物,26
錢起著_54. 閒居酬張起居見贈,錢起著,54. 閒居酬張起居見贈,張起,8
錢起著_68. 送外甥懷素上人歸鄉侍奉,錢起著,68. 送外甥懷素上人歸鄉侍奉,懷素,18
錢起著_70. 送王相公赴范陽,錢起著,70. 送王相公赴范陽,書生,75
錢起著_72. 送李兵曹赴河中,錢起著,72. 送李兵曹赴河中,書生,75
錢起著_77. 陪郭常侍令公東亭宴集,錢起著,77. 陪郭常侍令公東亭宴集,景池,1
錢起著_3. 夜宿靈台寺寄郎士元,錢起著,3. 夜宿靈台寺寄郎士元,郎士元,8
錢起著_4. 題郎士元半日吳村別業，兼呈李長官,錢起著,4. 題郎士元半日吳村別業，兼呈李長官,郎士元,8
錢起著_17. 送嚴維尉河南,錢起著,17. 送嚴維尉河南,少年,611
錢起著_17. 送嚴維尉河南,錢起著,17. 送嚴維尉河南,嚴維,20
錢起著_19. 送冷朝陽擢第後歸金陵覲省,錢起著,19. 送冷朝陽擢第後歸金陵覲省,冷朝陽,4
錢起著_26. 樂游原晴望上中書李侍郎,錢起著,26. 樂游原晴望上中書李侍郎,書生,75
錢起著_32. 七盤嶺阻寇聞李端公先到南楚,錢起著,32. 七盤嶺阻寇聞李端公先到南楚,李端,25
錢起著_35. 同王錥起居程浩郎中韓翃舍人題安國寺用上人院,錢起著,35. 同王錥起居程浩郎中韓翃舍人題安國寺用上人院,韓翃,3
錢起著_37. 贈張南史,錢起著,37. 贈張南史,張南史,7
錢起著_44. 哭辛霽,錢起著,44. 哭辛霽,範朝,1
錢起著_95. 故王維右丞堂前芍藥花開，淒然感懷,錢起著,95. 故王維右丞堂前芍藥花開，淒然感懷,王維,23
元結著_41. 引極三首：懷潛君,元結著,41. 引極三首：懷潛君,玄寶,3
元結著_11. 招陶別駕家陽華作,元結著,11. 招陶別駕家陽華作,高亭,19
元結著_33. 題孟中丞茅閣,元結著,33. 題孟中丞茅閣,何扶,3
元結著_36. 無為洞口作,元結著,36. 無為洞口作,無悶,12
張繼著_3. 春夜皇甫冉宅歡宴,張繼著,3. 春夜皇甫冉宅歡宴,皇甫冉,11
張繼著_4. 會稽秋晚奉呈于太守,張繼著,4. 會稽秋晚奉呈于太守,太守,256
張繼著_11. 酬張二十員外前國子博士竇叔向,張繼著,11. 酬張二十員外前國子博士竇叔向,竇叔向,2
張繼著_12. 會稽郡樓雪霽,張繼著,12. 會稽郡樓雪霽,西施,70
張繼著_19. 楓橋夜泊,張繼著,19. 楓橋夜泊,寒山,122
張繼著_23. 送顧況泗上覲叔父,張繼著,23. 送顧況泗上覲叔父,顧況,6
張繼著_27. 贈章八元,張繼著,27. 贈章八元,章八元,4
韓翃著_7. 贈別崔司直赴江東兼簡常州獨孤使君,韓翃著,7. 贈別崔司直赴江東兼簡常州獨孤使君,少年,611
韓翃著_13. 送孫潑赴雲中,韓翃著,13. 送孫潑赴雲中,少年,611
韓翃著_15. 送夏侯侍郎,韓翃著,15. 送夏侯侍郎,路應,11
韓翃著_21. 別汜水縣尉,韓翃著,21. 別汜水縣尉,少年,611
韓翃著_24. 送萬巨,韓翃著,24. 送萬巨,少年,611
韓翃著_24. 送萬巨,韓翃著,24. 送萬巨,清江,88
韓翃著_27. 寄雍丘竇明府,韓翃著,27. 寄雍丘竇明府,少年,611
韓翃著_28. 贈兗州孟都督,韓翃著,28. 贈兗州孟都督,少年,611
韓翃著_33. 寄哥舒僕射,韓翃著,33. 寄哥舒僕射,少年,611
韓翃著_19. 送海州姚別駕,韓翃著,19. 送海州姚別駕,少年,611
韓翃著_20. 送夏侯審,韓翃著,20. 送夏侯審,夏侯審,7
韓翃著_22. 送李侍禦赴徐州行營,韓翃著,22. 送李侍禦赴徐州行營,少年,611
韓翃著_22. 送李侍禦赴徐州行營,韓翃著,22. 送李侍禦赴徐州行營,寒山,122
韓翃著_27. 送蔣員外端公歸淮南,韓翃著,27. 送蔣員外端公歸淮南,王元,4
韓翃著_38. 同中書劉舍人題青龍上房,韓翃著,38. 同中書劉舍人題青龍上房,寶月,13
韓翃著_41. 送戴迪赴鳳翔幕府,韓翃著,41. 送戴迪赴鳳翔幕府,魏征,1
韓翃著_43. 送李中丞赴辰州,韓翃著,43. 送李中丞赴辰州,李中,34
韓翃著_45. 李中丞宅夜宴送丘侍禦赴江東便往辰州,韓翃著,45. 李中丞宅夜宴送丘侍禦赴江東便往辰州,李中,34
韓翃著_62. 送夏侯校書歸上都,韓翃著,62. 送夏侯校書歸上都,張生,13
韓翃著_62. 送夏侯校書歸上都,韓翃著,62. 送夏侯校書歸上都,寒山,122
韓翃著_65. 送皇甫大夫赴浙東,韓翃著,65. 送皇甫大夫赴浙東,皇甫大夫,6
韓翃著_66. 送韋秀才,韓翃著,66. 送韋秀才,寒山,122
韓翃著_4. 送丹陽劉太真,韓翃著,4. 送丹陽劉太真,劉太真,2
韓翃著_12. 送王誕渤海使赴李太守行營,韓翃著,12. 送王誕渤海使赴李太守行營,少年,611
韓翃著_12. 送王誕渤海使赴李太守行營,韓翃著,12. 送王誕渤海使赴李太守行營,太守,256
韓翃著_16. 訪王起居不遇留贈,韓翃著,16. 訪王起居不遇留贈,王起,34
韓翃著_18. 送冷朝陽還上元,韓翃著,18. 送冷朝陽還上元,冷朝陽,4
韓翃著_19. 送高別駕歸汴州,韓翃著,19. 送高別駕歸汴州,少年,611
韓翃著_24. 送長史李少府入蜀,韓翃著,24. 送長史李少府入蜀,清江,88
韓翃著_29. 送王府張參軍附學及第東歸,韓翃著,29. 送王府張參軍附學及第東歸,隱者,103
韓翃著_37. 送李中丞赴商州,韓翃著,37. 送李中丞赴商州,李中,34
韓翃著_47. 寄贈衡州楊使君,韓翃著,47. 寄贈衡州楊使君,太守,256
韓翃著_53. 少年行,韓翃著,53. 少年行,少年,611
韓翃著_54. 題玉真觀李秘書院,韓翃著,54. 題玉真觀李秘書院,李秘,8
韓翃著_57. 送齊山人歸長白山,韓翃著,57. 送齊山人歸長白山,寒山,122
韓翃著_62. 寄柳氏,韓翃著,62. 寄柳氏,柳氏,3
獨孤及著_9. 夏中酬于逖畢耀問病見贈,獨孤及著,9. 夏中酬于逖畢耀問病見贈,畢耀,1
獨孤及著_9. 夏中酬于逖畢耀問病見贈,獨孤及著,9. 夏中酬于逖畢耀問病見贈,于逖,1
獨孤及著_14. 送陳兼應辟兼寄高適、賈至,獨孤及著,14. 送陳兼應辟兼寄高適、賈至,賈至,3
獨孤及著_14. 送陳兼應辟兼寄高適、賈至,獨孤及著,14. 送陳兼應辟兼寄高適、賈至,高適,6
獨孤及著_21. 季冬自嵩山赴洛道中作,獨孤及著,21. 季冬自嵩山赴洛道中作,景雲,13
獨孤及著_24. 壬辰歲過舊居,獨孤及著,24. 壬辰歲過舊居,少年,611
獨孤及著_4. 東平蓬萊驛夜宴平盧楊判官醉後贈別姚太守置酒留宴,獨孤及著,4. 東平蓬萊驛夜宴平盧楊判官醉後贈別姚太守置酒留宴,太守,256
獨孤及著_16. 將赴京答李紓贈別,獨孤及著,16. 將赴京答李紓贈別,李紓,4
獨孤及著_24. 送陽翟張主簿之任,獨孤及著,24. 送陽翟張主簿之任,少年,611
獨孤及著_45. 送李賓客荊南迎親,獨孤及著,45. 送李賓客荊南迎親,李賓,5
郎士元著_11. 送張南史,郎士元著,11. 送張南史,張南史,7
郎士元著_12. 送奚賈歸吳,郎士元著,12. 送奚賈歸吳,奚賈,1
郎士元著_14. 送裴補闕入河南幕,郎士元著,14. 送裴補闕入河南幕,皎然,71
郎士元著_19. 朱方南郭留別皇甫冉,郎士元著,19. 朱方南郭留別皇甫冉,皇甫冉,11
郎士元著_46. 赴無錫別靈一上人,郎士元著,46. 赴無錫別靈一上人,靈一,23
皇甫冉著_7. 西陵寄靈一上人,皇甫冉著,7. 西陵寄靈一上人,靈一,23
皇甫冉著_8. 赴無錫寄別靈一淨虛二上人雲門所居,皇甫冉著,8. 赴無錫寄別靈一淨虛二上人雲門所居,靈一,23
皇甫冉著_39. 答張諲、劉方平兼呈賀蘭廣,皇甫冉著,39. 答張諲、劉方平兼呈賀蘭廣,劉方平,9
皇甫冉著_46. 劉方平西齋對雪,皇甫冉著,46. 劉方平西齋對雪,劉方平,9
皇甫冉著_52. 劉方平壁畫山,皇甫冉著,52. 劉方平壁畫山,劉方平,9
皇甫冉著_60. 寄劉方平,皇甫冉著,60. 寄劉方平,劉方平,9
皇甫冉著_63. 秋夜戲題劉方平壁,皇甫冉著,63. 秋夜戲題劉方平壁,劉方平,9
皇甫冉著_78. 送孔黨赴舉,皇甫冉著,78. 送孔黨赴舉,少年,611
皇甫冉著_83. 送包佶賦得天津橋,皇甫冉著,83. 送包佶賦得天津橋,包佶,5
皇甫冉著_85. 宿嚴維宅送包七,皇甫冉著,85. 宿嚴維宅送包七,嚴維,20
皇甫冉著_95. 秋夜宿嚴維宅,皇甫冉著,95. 秋夜宿嚴維宅,嚴維,20
皇甫冉著_100. 送陸澧郭鄖,皇甫冉著,100. 送陸澧郭鄖,郭鄖,1
皇甫冉著_2. 送張南史,皇甫冉著,2. 送張南史,張南史,7
皇甫冉著_5. 使往壽州淮路寄劉長卿,皇甫冉著,5. 使往壽州淮路寄劉長卿,劉長卿,9
皇甫冉著_14. 小江懷靈一上人,皇甫冉著,14. 小江懷靈一上人,靈一,23
皇甫冉著_15. 送唐別駕赴郢州,皇甫冉著,15. 送唐別駕赴郢州,少年,611
皇甫冉著_28. 酬張繼,皇甫冉著,28. 酬張繼,張繼,1
皇甫冉著_45. 送竇叔向,皇甫冉著,45. 送竇叔向,竇叔向,2
皇甫冉著_49. 寄劉方平大谷田家,皇甫冉著,49. 寄劉方平大谷田家,劉方平,9
皇甫冉著_62. 之京留別劉方平,皇甫冉著,62. 之京留別劉方平,劉方平,9
皇甫冉著_70. 送元晟歸潛山所居,皇甫冉著,70. 送元晟歸潛山所居,元晟,2
皇甫冉著_85. 和朝郎中揚子玩雪寄山陰嚴維,皇甫冉著,85. 和朝郎中揚子玩雪寄山陰嚴維,嚴維,20
皇甫冉著_95. 送延陵陳法師赴上元,皇甫冉著,95. 送延陵陳法師赴上元,少年,611
皇甫冉著_101. 重陽日酬李觀,皇甫冉著,101. 重陽日酬李觀,李觀,11
劉方平著_13. 秋夜寄皇甫冉鄭豐,劉方平著,13. 秋夜寄皇甫冉鄭豐,皇甫冉,11
袁傪著_4. 東峰亭同劉太真各賦一物得垂澗藤,袁傪著,4. 東峰亭同劉太真各賦一物得垂澗藤,劉太真,2
于邵著_33. 釋奠武成王樂章：送神,于邵著,33. 釋奠武成王樂章：送神,景雲,13
姚系著_27. 五老峰大明觀贈隱者,姚系著,27. 五老峰大明觀贈隱者,隱者,103
姚系著_29. 送陸渾主簿趙宗儒之任,姚系著,29. 送陸渾主簿趙宗儒之任,趙宗儒,3
韋濟著_7. 奉和聖制次瓊岳應制,韋濟著,7. 奉和聖制次瓊岳應制,陸海,8
劉昚虛著_3. 暮秋揚子江寄孟浩然,劉昚虛著,3. 暮秋揚子江寄孟浩然,孟浩然,22
劉昚虛著_8. 寄閻防,劉昚虛著,8. 寄閻防,閻防,3
劉昚虛著_14. 贈喬琳,劉昚虛著,14. 贈喬琳,喬琳,3
劉昚虛著_15. 茙葵花歌,劉昚虛著,15. 茙葵花歌,少年,611
鄒象先著_3. 寄蕭穎士補正字,鄒象先著,3. 寄蕭穎士補正字,蕭穎士,10
賈躭著_4. 賦虞書歌,賈躭著,4. 賦虞書歌,懷素,18
李岑2著_7. 西河郡太原守張夫人挽歌,李岑2著,7. 西河郡太原守張夫人挽歌,張夫人,3
蔣渙著_19. 和徐侍郎書叢筱韻,蔣渙著,19. 和徐侍郎書叢筱韻,應物,26
陳孫著_23. 移耶溪舊居呈陳元初校書,陳孫著,23. 移耶溪舊居呈陳元初校書,陳元初,4
李峰著_24. 西河郡太原守張夫人挽歌,李峰著,24. 西河郡太原守張夫人挽歌,張夫人,3
沈千運著_2. 贈史修文,沈千運著,2. 贈史修文,少年,611
王季友1著_11. 代賀若令譽贈沈千運,王季友1著,11. 代賀若令譽贈沈千運,沈千運,2
張彪著_21. 北游還酬孟雲卿,張彪著,21. 北游還酬孟雲卿,孟雲卿,6
秦系著_12. 將移耶溪舊居留贈嚴維秘書,秦系著,12. 將移耶溪舊居留贈嚴維秘書,嚴維,20
秦系著_14. 山中奉寄錢起員外兼簡苗發員外,秦系著,14. 山中奉寄錢起員外兼簡苗發員外,錢起,9
秦系著_14. 山中奉寄錢起員外兼簡苗發員外,秦系著,14. 山中奉寄錢起員外兼簡苗發員外,苗發,11
秦系著_16. 鮑防員外見尋因書情呈贈,秦系著,16. 鮑防員外見尋因書情呈贈,鮑防,4
秦系著_21. 耶溪書懷寄劉長卿員外,秦系著,21. 耶溪書懷寄劉長卿員外,劉長卿,9
秦系著_23. 張建封大夫奏系為校書郎因寄此作,秦系著,23. 張建封大夫奏系為校書郎因寄此作,張建封,3
秦系著_24. 會稽山居寄薛播侍郎袁高給事高參舍人,秦系著,24. 會稽山居寄薛播侍郎袁高給事高參舍人,袁高,5
秦系著_33. 山中書懷寄張建封大夫,秦系著,33. 山中書懷寄張建封大夫,張建封,3
任華著_2. 寄杜拾遺,任華著,2. 寄杜拾遺,任生,12
任華著_3. 懷素上人草書歌,任華著,3. 懷素上人草書歌,懷素,18
韓滉著_2. 聽樂悵然自述,韓滉著,2. 聽樂悵然自述,少年,611
鄭錫著_7. 邯鄲少年行,鄭錫著,7. 邯鄲少年行,少年,611
嚴維著_5. 酬諸公宿鏡水宅,嚴維著,5. 酬諸公宿鏡水宅,寒山,122
嚴維著_7. 送李秘書往儋州,嚴維著,7. 送李秘書往儋州,李秘,8
嚴維著_9. 送崔峒使往睦州兼寄薛司戶,嚴維著,9. 送崔峒使往睦州兼寄薛司戶,崔峒,7
嚴維著_10. 送房元直赴北京,嚴維著,10. 送房元直赴北京,書生,75
嚴維著_16. 留別鄒紹劉長卿,嚴維著,16. 留別鄒紹劉長卿,劉長卿,9
嚴維著_18. 贈送朱放,嚴維著,18. 贈送朱放,朱放,9
嚴維著_24. 奉和皇甫大夫夏日游花嚴寺,嚴維著,24. 奉和皇甫大夫夏日游花嚴寺,皇甫大夫,6
嚴維著_28. 送李端,嚴維著,28. 送李端,李端,25
嚴維著_34. 相裏使君宅聽澄上人吹小管,嚴維著,34. 相裏使君宅聽澄上人吹小管,太守,256
嚴維著_37. 哭靈一上人,嚴維著,37. 哭靈一上人,靈一,23
嚴維著_39. 陪皇甫大夫謁禹廟,嚴維著,39. 陪皇甫大夫謁禹廟,皇甫大夫,6
嚴維著_41. 奉和皇甫大夫祈雨應時雨降,嚴維著,41. 奉和皇甫大夫祈雨應時雨降,皇甫大夫,6
嚴維著_42. 贈別劉長卿時赴河南嚴中丞幕府,嚴維著,42. 贈別劉長卿時赴河南嚴中丞幕府,劉長卿,9
嚴維著_48. 送丘為下第歸蘇州,嚴維著,48. 送丘為下第歸蘇州,丘為,7
嚴維著_50. 贈送崔子向,嚴維著,50. 贈送崔子向,崔子向,11
嚴維著_51. 答劉長卿七裏瀨重送,嚴維著,51. 答劉長卿七裏瀨重送,劉長卿,9
嚴維著_58. 答劉長卿蛇浦橋月下重送,嚴維著,58. 答劉長卿蛇浦橋月下重送,劉長卿,9
顧況著_18. 從軍行二首,顧況著,18. 從軍行二首,少年,611
顧況著_6. 龍宮操,顧況著,6. 龍宮操,江妃,10
顧況著_7. 梁廣畫花歌,顧況著,7. 梁廣畫花歌,上元夫人,4
顧況著_9. 行路難三首,顧況著,9. 行路難三首,少年,611
顧況著_15. 悲歌六,顧況著,15. 悲歌六,青童,13
顧況著_19. 八月五日歌,顧況著,19. 八月五日歌,張果,4
顧況著_21. 金璫玉佩歌,顧況著,21. 金璫玉佩歌,織女,55
顧況著_26. 杜秀才畫立走水牛歌,顧況著,26. 杜秀才畫立走水牛歌,織女,55
顧況著_29. 宜城放琴客歌,顧況著,29. 宜城放琴客歌,少年,611
顧況著_29. 宜城放琴客歌,顧況著,29. 宜城放琴客歌,若水,8
顧況著_39. 廬山瀑布歌送李顧,顧況著,39. 廬山瀑布歌送李顧,織女,55
顧況著_25. 晉公魏國夫人柳氏挽歌,顧況著,25. 晉公魏國夫人柳氏挽歌,柳氏,3
顧況著_3. 題元陽觀舊讀書房贈李范,顧況著,3. 題元陽觀舊讀書房贈李范,房千里,2
顧況著_29. 送李泌,顧況著,29. 送李泌,李泌,3
顧況著_48. 贈朱放,顧況著,48. 贈朱放,朱放,9
顧況著_58. 宮詞五首,顧況著,58. 宮詞五首,宮嬪,7
顧況著_67. 登樓望水,顧況著,67. 登樓望水,少年,611
顧況著_69. 歲日作,顧況著,69. 歲日作,少年,611
耿湋著_9. 夏日寄東溪隱者,耿湋著,9. 夏日寄東溪隱者,隱者,103
耿湋著_15. 贈嚴維,耿湋著,15. 贈嚴維,嚴維,20
耿湋著_16. 春日題苗發竹亭,耿湋著,16. 春日題苗發竹亭,苗發,11
耿湋著_21. 送李端,耿湋著,21. 送李端,李端,25
耿湋著_26. 送夏侯審游蜀,耿湋著,26. 送夏侯審游蜀,夏侯審,7
耿湋著_46. 隴西行,耿湋著,46. 隴西行,李都,11
耿湋著_59. 夏夜西亭即事寄錢員外,耿湋著,59. 夏夜西亭即事寄錢員外,高亭,19
耿湋著_60. 與清江上人及諸公宿李八昆季宅,耿湋著,60. 與清江上人及諸公宿李八昆季宅,清江,88
耿湋著_65. 春日遊慈恩寺寄暢當,耿湋著,65. 春日遊慈恩寺寄暢當,暢當,20
耿湋著_70. 邠州留別,耿湋著,70. 邠州留別,寒山,122
耿湋著_78. 酬暢當,耿湋著,78. 酬暢當,暢當,20
耿湋著_98. 尋覺公因寄李二端司空十四曙,耿湋著,98. 尋覺公因寄李二端司空十四曙,少年,611
耿湋著_105. 贈苗員外,耿湋著,105. 贈苗員外,少年,611
耿湋著_9. 題清源寺,耿湋著,9. 題清源寺,座客,18
耿湋著_30. 奉和李觀察登河中白樓,耿湋著,30. 奉和李觀察登河中白樓,李觀,11
耿湋著_32. 賀李觀察禱河神降雨,耿湋著,32. 賀李觀察禱河神降雨,李觀,11
耿湋著_33. 上將行,耿湋著,33. 上將行,寒山,122
耿湋著_37. 同李端春望,耿湋著,37. 同李端春望,李端,25
耿湋著_51. 寄錢起,耿湋著,51. 寄錢起,少年,611
耿湋著_51. 寄錢起,耿湋著,51. 寄錢起,錢起,9
戎昱著_3. 苦辛行,戎昱著,3. 苦辛行,少年,611
戎昱著_18. 從軍行,戎昱著,18. 從軍行,李都,11
戎昱著_27. 送吉州閻使君入道二首,戎昱著,27. 送吉州閻使君入道二首,太守,256
戎昱著_48. 上湖南崔中丞,戎昱著,48. 上湖南崔中丞,書生,75
戎昱著_90. 紅槿花,戎昱著,90. 紅槿花,少年,611
戎昱著_101. 贈宜陽張使君,戎昱著,101. 贈宜陽張使君,太守,256
竇叔向著_7. 酬李袁州嘉佑,竇叔向著,7. 酬李袁州嘉佑,少年,611
竇常著_10. 晚次方山精舍卻寄張薦員外,竇常著,10. 晚次方山精舍卻寄張薦員外,張薦,11
竇常著_15. 途中立春寄楊郇伯,竇常著,15. 途中立春寄楊郇伯,楊郇伯,1
竇牟著_47. 天津曉望因寄呈分司一二省郎,竇牟著,47. 天津曉望因寄呈分司一二省郎,宮嬪,7
竇庠著_80. 留守府酬皇甫曙侍禦彈琴之什,竇庠著,80. 留守府酬皇甫曙侍禦彈琴之什,皇甫曙,1
竇庠著_80. 留守府酬皇甫曙侍禦彈琴之什,竇庠著,80. 留守府酬皇甫曙侍禦彈琴之什,座客,18
竇庠著_81. 金山行,竇庠著,81. 金山行,水神,5
竇庠著_90. 酬韓愈侍郎登岳陽樓見贈,竇庠著,90. 酬韓愈侍郎登岳陽樓見贈,韓愈,24
竇庠著_96. 冬夜寓懷寄王翰林,竇庠著,96. 冬夜寓懷寄王翰林,王翰,1
竇庠著_97. 醉中贈符載,竇庠著,97. 醉中贈符載,符載,1
竇鞏著_101. 贈蕭都官,竇鞏著,101. 贈蕭都官,少年,611
竇鞏著_118. 贈王氏小兒,竇鞏著,118. 贈王氏小兒,王氏,17
竇鞏著_124. 送劉禹錫,竇鞏著,124. 送劉禹錫,劉禹錫,21
竇鞏著_125. 送元稹西歸,竇鞏著,125. 送元稹西歸,元稹,4
潘炎著_3. 清如玉壺冰,潘炎著,3. 清如玉壺冰,應物,26
韋夏卿著_6. 別張賈,韋夏卿著,6. 別張賈,張賈,2
韋夏卿著_7. 送顧況歸茅山,韋夏卿著,7. 送顧況歸茅山,顧況,6
綦毋誠著_9. 同韋夏卿送顧況歸茅山,綦毋誠著,9. 同韋夏卿送顧況歸茅山,顧況,6
綦毋誠著_9. 同韋夏卿送顧況歸茅山,綦毋誠著,9. 同韋夏卿送顧況歸茅山,韋夏卿,1
朱長文著_34. 題虎丘山西寺,朱長文著,34. 題虎丘山西寺,王氏,17
朱長文著_35. 吳興送梁補闕歸朝賦得荻花,朱長文著,35. 吳興送梁補闕歸朝賦得荻花,梁補闕,1
戴叔倫著_7. 孤鴻篇,戴叔倫著,7. 孤鴻篇,清江,88
戴叔倫著_9. 喜雨,戴叔倫著,9. 喜雨,殷遙,3
戴叔倫著_13. 奉天酬別鄭諫議雲逵、盧拾遺景亮見別之作,戴叔倫著,13. 奉天酬別鄭諫議雲逵、盧拾遺景亮見別之作,少年,611
戴叔倫著_18. 懷素上人草書歌,戴叔倫著,18. 懷素上人草書歌,懷素,18
戴叔倫著_21. 邊城曲,戴叔倫著,21. 邊城曲,少年,611
戴叔倫著_24. 早春曲,戴叔倫著,24. 早春曲,少年,611
戴叔倫著_28. 送別錢起,戴叔倫著,28. 送別錢起,錢起,9
戴叔倫著_29. 送張南史,戴叔倫著,29. 送張南史,張南史,7
戴叔倫著_31. 早行寄朱山人放,戴叔倫著,31. 早行寄朱山人放,少年,611
戴叔倫著_39. 宿城南盛本道懷皇甫冉,戴叔倫著,39. 宿城南盛本道懷皇甫冉,皇甫冉,11
戴叔倫著_41. 送崔融,戴叔倫著,41. 送崔融,崔融,5
戴叔倫著_46. 冬日有懷李賀長吉,戴叔倫著,46. 冬日有懷李賀長吉,李賀,5
戴叔倫著_47. 送郎士元,戴叔倫著,47. 送郎士元,郎士元,8
戴叔倫著_71. 酬別劉九郎評事傳經同泉字,戴叔倫著,71. 酬別劉九郎評事傳經同泉字,太守,256
戴叔倫著_91. 江上別劉駕,戴叔倫著,91. 江上別劉駕,劉駕,6
戴叔倫著_136. 寄司空曙,戴叔倫著,136. 寄司空曙,司空曙,12
戴叔倫著_137. 過故人陳羽山居,戴叔倫著,137. 過故人陳羽山居,陳羽,5
戴叔倫著_138. 吊暢當,戴叔倫著,138. 吊暢當,暢當,20
戴叔倫著_139. 寄劉禹錫,戴叔倫著,139. 寄劉禹錫,劉禹錫,21
戴叔倫著_140. 寄孟郊,戴叔倫著,140. 寄孟郊,孟郊,30
戴叔倫著_147. 哭朱放,戴叔倫著,147. 哭朱放,朱放,9
戴叔倫著_152. 曉聞長樂鐘聲,戴叔倫著,152. 曉聞長樂鐘聲,應物,26
戴叔倫著_14. 宿無可上人房,戴叔倫著,14. 宿無可上人房,無可,68
戴叔倫著_49. 織女詞,戴叔倫著,49. 織女詞,織女,55
戴叔倫著_55. 別鄭谷,戴叔倫著,55. 別鄭谷,鄭谷,25
戴叔倫著_59. 荔枝,戴叔倫著,59. 荔枝,太守,256
戴叔倫著_70. 送秦系,戴叔倫著,70. 送秦系,秦系,11
戴叔倫著_79. 過珥瀆單老,戴叔倫著,79. 過珥瀆單老,少年,611
戴叔倫著_107. 酬贈張眾甫,戴叔倫著,107. 酬贈張眾甫,張眾甫,1
陸長源著_16. 答東野夷門雪,陸長源著,16. 答東野夷門雪,少年,611
張眾甫著_20. 送李觀之宣州謁袁中丞賦得三州渡,張眾甫著,20. 送李觀之宣州謁袁中丞賦得三州渡,李觀,11
盧綸著_3. 送吉中孚校書歸楚州舊山,盧綸著,3. 送吉中孚校書歸楚州舊山,吉中孚,10
盧綸著_10. 送宋校書赴宣州幕,盧綸著,10. 送宋校書赴宣州幕,清江,88
盧綸著_37. 冬夜贈別友人,盧綸著,37. 冬夜贈別友人,寒山,122
盧綸著_38. 送顧秘書獻書後歸岳州,盧綸著,38. 送顧秘書獻書後歸岳州,太守,256
盧綸著_40. 送從叔牧永州,盧綸著,40. 送從叔牧永州,太守,256
盧綸著_41. 送趙真長歸夏縣舊山依陽征君讀書,盧綸著,41. 送趙真長歸夏縣舊山依陽征君讀書,少年,611
盧綸著_42. 留別耿湋侯釗馮著,盧綸著,42. 留別耿湋侯釗馮著,耿湋,12
盧綸著_42. 留別耿湋侯釗馮著,盧綸著,42. 留別耿湋侯釗馮著,馮著,7
盧綸著_44. 送崔邠拾遺,盧綸著,44. 送崔邠拾遺,崔邠,2
盧綸著_47. 送尹樞令狐楚及第後歸覲,盧綸著,47. 送尹樞令狐楚及第後歸覲,令狐楚,3
盧綸著_50. 送暢當還舊山,盧綸著,50. 送暢當還舊山,暢當,20
盧綸著_53. 送暢當赴山南幕,盧綸著,53. 送暢當赴山南幕,暢當,20
盧綸著_54. 顏侍禦廳叢篁詠送薛存誠,盧綸著,54. 顏侍禦廳叢篁詠送薛存誠,薛存誠,3
盧綸著_58. 送暢當,盧綸著,58. 送暢當,暢當,20
盧綸著_68. 將赴閿鄉灞上留別錢起員外,盧綸著,68. 將赴閿鄉灞上留別錢起員外,錢起,9
盧綸著_74. 酬暢當尋嵩岳麻道士見寄,盧綸著,74. 酬暢當尋嵩岳麻道士見寄,暢當,20
盧綸著_74. 酬暢當尋嵩岳麻道士見寄,盧綸著,74. 酬暢當尋嵩岳麻道士見寄,樵夫,17
盧綸著_75. 酬李端長安寓居偶詠見寄,盧綸著,75. 酬李端長安寓居偶詠見寄,李端,25
盧綸著_5. 和金吾裴將軍使往河北宣慰因訪張氏昆季舊居兼寄趙侍郎趙卿拜陵未迴,盧綸著,5. 和金吾裴將軍使往河北宣慰因訪張氏昆季舊居兼寄趙侍郎趙卿拜陵未迴,張氏,7
盧綸著_8. 同吉中孚夢桃源,盧綸著,8. 同吉中孚夢桃源,吉中孚,10
盧綸著_14. 和李中丞酬萬年房署少府過汾州景雲觀因以寄上房與李早年同居此觀,盧綸著,14. 和李中丞酬萬年房署少府過汾州景雲觀因以寄上房與李早年同居此觀,景雲,13
盧綸著_14. 和李中丞酬萬年房署少府過汾州景雲觀因以寄上房與李早年同居此觀,盧綸著,14. 和李中丞酬萬年房署少府過汾州景雲觀因以寄上房與李早年同居此觀,李中,34
盧綸著_16. 酬李益端公夜宴見贈,盧綸著,16. 酬李益端公夜宴見贈,李益,21
盧綸著_20. 和裴延齡尚書寄題果州謝舍人仙居,盧綸著,20. 和裴延齡尚書寄題果州謝舍人仙居,裴延,2
盧綸著_22. 酬靈澈上人,盧綸著,22. 酬靈澈上人,靈澈,13
盧綸著_27. 得耿湋司法書因敘長安故友零落兵部苗員外發祕省李校書端相次傾逝潞府崔功曹峒長林司空丞曙俱謫遠方余以搖落之時對書增歎因呈河中鄭倉曹暢參軍昆季,盧綸著,27. 得耿湋司法書因敘長安故友零落兵部苗員外發祕省李校書端相次傾逝潞府崔功曹峒長林司空丞曙俱謫遠方余以搖落之時對書增歎因呈河中鄭倉曹暢參軍昆季,耿湋,12
